words,example
Mirabile Dictu,"Just say it ! (mirabile dictu)"
Mirabile Visu,"Just look it ! (mirabile visu) [Devant une épicycloïde, cf. oreilles de Mickey]"
Misonéiste,"Vous savez bien qu'il y a des misonéistes de partout…"
Modus Operandi,"Pour le cas général, il faudra peut-être procéder ad augusta per angusta et adopter un modus operandi suivant un vent catabatique…"
Motu Proprio,"J'aurais pas trouvé comme ça, ex abrupto, motu proprio."
Moult,"Après moult tribulations méphistophéliques, nous arrivons au résultat annoncé. (équivalent à &quot;Après moult circonlocutions et procrastinations, atteindrons-nous l'apocatastase ?&quot;)"
Munificence,"Ne me remerciez pas de vous donner, dans un élan de munificence paroxystique, une indication (ténue de surcroît) pour résoudre le problème…"
Munificence,"Non dit par le prof, mais ajouté pour comprendre : Grand maman, je fais ici appel à ta munificence ? Traduction : t'as pas 100 balles ?"
Musagète,"Votre pédotribe musagète (cf. Correspondance)"
Mutatis Mutandis,"On rapproche ces deux expressions mutatis mutandis, de façon triviale et bestiale."
Mystagogie|Mystagogue,"M Tschirhard, vous êtes un bon thaumaturge, mais vous êtes vraiment meilleur en mystagogie qu'en maths…"
Mystagogie|Mystagogue,"Notre mystagogue œcuménique ! [qui se livre à quelque magie vaudoue ]"
Méga  ,"C'est une méga  union, Cette méga  somme n'est pas très maniable…"
Méga  ,"Je pense que cette remarque interlope avait effectivement échappé de ma bouche devant une assistance en liesse, toujours en proie à quelque boutade amphibologique. Mais, ce n'est pas à vous que je vais l'apprendre, ""verba volant scripta manent""… Étant donné le contexte socio-politique de cette méga-pantalonnade, il me semble fort raisonnable de s'en tenir aux écrits actuels…"
Méga X,"Mais non pas grand X ! Il y en a déjà un ! mettez un méga X !"
Mégalomanie,"<strong>Elève :</strong> Moi j'ai compris, mais les autres…<br /> <strong>Prof :</strong> Mais quelle mégalomanie exacerbée !"
Mélophage,"Mais il y avait un piège : le champ était bourré de stomoxes et de mélophages. (Cf. Histoires)"
Méphitique,"(à une personne prise d'une crise de hoquet) : Vous éructez des borborygmes méphitiques…"
Méphitique,"Maintenant que nous avons évacué nos relents méphitiques et empyreumatiques, …"
Métromane|Littérateur|Matamore|Dithyrambique|Histrion,"Notre littérateur dithyrambique, métromane, matamore, histrion !"
Nonobstant,"Moralité : l'intégrande est certes infinie en 0, nonobstant sa primitive est finie en 0."
Nonobstant,"Nonobstant toute réflexion superfétatoire…"
Numismatique|Plénipotentiaire|Fiduciaire,"Rappelons que Picsou est l'illustre ploutocrate plénipotentiaire de la mégalopole Picsouville, expert en numismatique, orfèvre des valeurs fiduciaires. (cf. Histoires)"
Nutritif,"Allez un petit exemple.. Enfin quelque chose de nutritif"
Nycthémère,"Je te garantis que personne ne touchera ta voiture et peux t'assurer qu'elle passera au moins un nycthémère chez nous ! (cf. Histoires)"
O tempora o mores,"Il s'agit du matériel de l'INSA, est-il utile de le rappeler ? o tempora o mores !"
Oblativité|Obédience,"Je vois que vous œuvrez dur pour les mathématiques et vous remercie de votre totale obédience (et oblativité) pour la chose."
Obsolescence,"Toto sentant naître une pointe d'obsolescence insidieuse décide de prendre sa retraite. (cf. Histoires)"
Obsolète,"Cher affidé non obsolète (cf. Correspondance)"
Obsolète,"Votre ex-pédotribe obsolète (cf. Correspondance)"
Odalisque,"A la plage, des schtroumpfettes se schtroumpfent avec schtroumpferie (traduction de l'auteur : des odalisques se pavanent avec ostentation). (cf. Histoires)"
Oecuménique,"Mickey notre sigisbée patelin international voire oecuménique, ayant bien joué avec les stomoxes, mélophages et autres hippobosques, considère qu'après une telle gloire il préfère se retirer sous les vivats et satisfecits d'une foule en liesse. (cf. Histoires)"
Oecuménique,"Notre mystagogue oecuménique ! [qui se livre à quelque magie vaudoue ]"
Onirique,"Notre apprenti godelureau, dans son délire onirique, prend idée de jouer… (cf. Histoires)"
Ordre Lexicographique,"On va mettre un peu d'ordre lexicographique dans ces réponses."
Ossianique,"Titeuf qui n'a pas la plume particulièrement littéraire, et donc peu enclin à rédiger des épigrammes élégiaques ou anacréontiques, voire ossianiques…(cf. Histoires)"
Ostentatoire,"En espérant vous avoir endigué les affres d'une géhenne apocalyptique… Vous pourrez vous pavaner avec la réponse en main auprès des schtroumpfettes avec ostentation, souvenez-vous-en…"
Outrecuidance,"Mr TSCHIRHARD, vous avez l'outrecuidance de m'imposer votre pantomime simiesque. Je n'eusse pas cru cela de vous, sur la vie de ma mère."
Outrecuidance,"Non dit par le prof, mais ajouté pour comprendre :<br /> ""Non mais genre, comme tu fais chier"" <strong>Traduction :</strong> ""Bigre, il a l'outrecuidance de venir m'embrener de fort méchante manière."""
Palinodique,"Mais en faisant ça, nous aboutirions à une palinodie !"
Palinodique|Protéiforme,"Attention : flèche capricante, claudicante, palinodique, protéiforme [interrupteur ON/OFF simulant le goître du prof. en cas de débordement dans l'assistance]"
Pamphlétaire|Attentatoire,"Quelle expression pamphlétaire et attentatoire !"
Pamphlétaire|Diatribe,"C'est une diatribe pamphlétaire indigne de vous…"
Pandémonium,"Le samedi soir, au lieu d'aller dans les pandémoniums de ploutocrates concupiscents, vous feriez mieux de réviser vos maths…"
Pantalonnade,"On est vraiment limite pantalonnade, là…"
Pantomime,"Quelle pantomime simiesque.."
Pantomime|Semnopithèque,"Quelle pantomime de semnopithèques !"
Panégyriste,"Mr. TSCHIRHARD, notre panégyriste national !"
Papelard|Patelin,"Mickey, notre sigisbée patelin, papelard, voire cauteleux, donc, invite une copine à la campagne. Cette copine, c'est… Clarabelle, le bovidé mafflu ! (cf. Histoires)"
Paradigmatique,"Alors évidemment, ce sont des exemples paradigmatiques pour le chapitre…"
Paradigmatique,"Les fonctions paradigmatiques de la théorie…"
Paralogisme,"Bien que ce ne soit qu'un paralogisme assertorique à tendance captieuse."
Paralogisme,"C'est un paralogisme assertorique à vocation captieuse"
Parangon,"Cher parangon ostentatoire (cf. Correspondance)"
Paraphrénie,"Diantre, seriez-vous paraphréniques ?"
Paronomase,"On assemble ce qui se ressemble (ça, c'est une paronomase)…"
Paroxystique,"Quelle conviction paroxystique…"
Paroxystique|Déréliction|Endémique,"Vous avez atteint un stade de déréliction endémique et paroxystique…"
Parèdre,"Toto sentant naître une pointe d'obsolescence insidieuse décide de prendre sa retraite. Il choisit donc comme parèdre… Mickey. (cf. Histoires)"
Pasquinade,"M. Poulain, une petite pasquinade là?"
Pathos,"C'est un pathos fuligineux !"
Pensum,"Toujours avec mon allégeance pour ce long pensum !(cf. Correspondance)"
Persifleur,"M Tschirhard, notre persifleur national, toujours en proie à une verve désopilante."
Philippique,"Mr X, encore une phillipique sardonique?"
Philistin,"Oui, tapez donc ce calcul sur votre machine de philistins…(comprendre : calculatrice)"
Philistin|Béotien,"Vous êtes un misonéiste, un béotien, un philistin iconoclaste. [À quelqu'un qui ne veut pas retenir une méthode pratique du prof.]"
Pie grièche,"A ces mots, Mickey prit un ton comminatoire et lui adresse quelques privautés : il la traite &quot;espèce de&quot;<br /> <br /> réponse a : péronnelle !<br /> réponse b : pie grièche !<br /> réponse c : poissarde !<br /> réponse d : pôv' cloche !<br />  (cf. Histoires)"
Ploutocrate,"Le samedi soir, au lieu d'aller dans les Pandémoniums de ploutocrates concupiscents, faites donc cette démonstration…"
Pléonasme,"Après tout, une trivialité apodictique n'est qu'un pléonasme vicieux, je vous l'accorde !"
Pléonasme,"Je monte la droite à la verticale, bien que ce soit un pléonasme…"
Pléthore,"Je vois que votre imagination est débordante, pléthorique, paroxystique, etc. et non moins inventive !"
Pléthore,"On pourrait définir toute une pléthore de fonctions arcsin."
Poissarde|Péronnelle,"A ces mots, Mickey prit un ton comminatoire et lui adresse quelques privautés : il la traite &quot;espèce de&quot;<br /> <br /> réponse a : péronnelle !<br /> réponse b : pie grièche !<br /> réponse c : poissarde !<br /> réponse d : pôv' cloche !<br />"
Polydipsie|Prophylaxique,"Un petit exo prophylaxique après une crise de polydipsie…"
Polymathique,"Polytechnique, voilà une école polymathique !"
Polymorphe,"""Machin"" est polymorphe : ici c'est (x-1) et là c'est (1-x²)^(1/2)"
Pouacre,"Un petit exo pour samedi soir au lieu de fréquenter :<br /> <br /> -réponse a : des pandémoniums de sybarites concupiscents ;<br /> -réponse b : des bouges de dipsomanes impénitents ;<br /> -réponse c : des pétaudiaires de satrapes extravertis ;<br /> -réponse d : des cloaques de pouacres."
Primesautier,"Déjà un élan de coprolalie primesautier?"
Privauté,"A ces mots, Mickey prit un ton comminatoire et lui adresse quelques privautés : il la traite &quot;espèce de&quot;<br /> <br /> réponse a : péronnelle !<br /> réponse b : pie grièche !<br /> réponse c : poissarde !<br /> réponse d : pôv' cloche !<br /> (cf. Histoires)"
Procrastination,"Vous, vous êtes enclin à la procrastination?"
Prodromique,"Ici, on ne fait pas de mathématiques prodromiques."
Prodromique,"Quand à celui qui nous quitte, ses résultats du premier semestre semblaient prodromiques et je vois qu'ils ne sont malheureusement pas remontés au deuxième semestre…"
Prolixité,"Mr Duret, vous qui semblez enclin à une prolixité inextinguible."
Prolixité|Bavasser,"Vous bavassez tellement, bref vous êtes d'une telle prolixité inextinguible que je me vois forcé d'avancer dans le programme."
Prévarication,"Picsou accepte très (trop ?) volontiers de faire crédit, mais ayant toujours cette propension compulsive et incoercible à quelque malversation, prévarication et autre concussion, la prudence est de mise. (cf. Histoires)"
Psittacisme,"C'est une forme de psittacisme gestuel…"
Psittacisme,"Seriez-vous atteint de psittacisme aigüe ?"
Psychopompe,"Que dit le psychopompe ?"
Psychotrope,"Si je prends un exemple corroboratif et psychotrope…"
Putatif,"Toto se découvre tout d'un coup un autre héritier (putatif ?) totalement méconnu qui vient réclamer sa part. (cf. Histoires)"
Pâmoison|Callipyge,"Maintenant il veut frimer avec sa décapotable rouge devant les midinettes callipyges en pâmoison extatique. (cf. Histoires)"
Pédotribe,"Votre pédotribe musagète…(cf. Correspondance)"
Périssodactyle,"Non dit par le prof, mais ajouté pour comprendre : le cheval est sans doute le périssodactyle le plus connu sur terre!"
Périssodactyle,"On ne va pas le faire comme un périssodactyle !"
Périssologie,"Epsilon, c'est une périssologie?"
Péroraison|Moult,"Après moult péroraisons, fadaises, billevesées, rodomontades et autres coquecigrues, nous pouvons reprendre le cours de la vie normale…"
Pétaudière,"Je ne reste pas à Lyon, ce qui m'évite de fréquenter une pétaudière de sybarites dévoyés… Bonnes libations bachiques ! Evitez nonobstant les échansons égrillards…"
Pétulance,"Vous êtes d'une pétulance exacerbée."
Q.E.D.,"Donc ch(x) &gt;= 1 sur l'intervalle demandé. Q.E.D."
Que nenni,"Vous pensez faire sortir M. Millon de son ataraxie ? Que nenni, M. Millon dans un état d'alacrité serait une contre-tautologie !"
Que nenni|Relou,"Que nenni, c'est relou et rimbou !"
Qui scribit bis legit,"On va tout de même l'écrire, car qui scribit bis legit"
Qui tacet consentire videtur,"Face à ce silence cataphatique, j'en conclus que ""qui tacet consentire videtur""…"
Quid novi,"Quid novi ?"
Quid,"Mais alors, quid de l'infimum ?"
Quid,"Quid ?"
Ratiocination|Ampoulé,"M Millon, ne nous servez pas vos ratiocinations ampoulées et alambiquées!"
Redondant,"Votre raisonnement est d'une redondance fuligineuse…"
Relou,"Non dit par le prof, mais ajouté pour comprendre : &quot;Tin relou le contrôle d'OMSI, j'ai tout foiré.&quot;"
Rhétorique,"Mr Tschirardt, notre chantre apologique toujours enclin à la capucinade rhétorique !"
Rhétorique|Idiolecte|Coprolalie,"Vous avez une rhétorique idiolecte coprolalique !"
Rimbou,"que nenni, c'est relou et rimbou !"
Rodomontade,"On a pris du retard, à force de déblatérer toutes formes de rodomontades…"
Récapépèter,"Donc on récapépète!"
Résipiscence,"A ces mots, la plume de Titeuf commence à chavirer, Nadia entre dans une pâmoison absolument transcendantale, et Vomito, face à cette réaction, se dit : ""Bon, il faut que je vienne à résipiscence en proposant une autre solution"". (cf. Histoires)"
Sagouin,"Si ça ne vous dérange pas, maintenant je fais le sagouin et je prend le même f."
Sapajou,"Je fais ça comme un sapajou !"
Sarcasme,"M Millon, je sens une pointe de sarcasme sardonique dans votre propos!"
Sarcasme|Méphistophélique,"Quel sarcasme méphistophélique !"
Sardonique,"""Je sens que vous êtes ironique…"" ""Non, sardonique."""
Sardonique,"Non, c'était une réflexion sardonique."
Satisfecit,"J'ai oublié de vous transmettre un satisfecit narcissique de la 52e promo."
Satrape|Pétaudière,"Un petit exercice pour le samedi soir, au lieu d’aller dans les pétaudières de satrapes extravertis."
Sibyllin,"Mystico-sibyllin, pas mythico-sibyllin ! Vous me décevez, greffier… :-)"
Sibyllin,"Ça peut peut-être vous sembler de la cabale mythico-sibylline…mais ce n'en est pas !"
Sigisbée,"Mickey, notre sigisbée patelin, papelard, voire cauteleux, donc, invite une copine à la campagne. (cf. Histoires)"
Sigisbée,"Toto, cancre occupant indéfectiblement le dernier rang de l'école communale, se prend aujourd'hui pour un sigisbée et se met en quête de taquiner une copine avoisinante : Titine… (cf. Histoires)"
Simiesque,"Quelle pantomime simiesque !"
Stentor,"M. Millon nous informe de sa belle voix de stentor qu'une erreur s'est insidieusement glissée dans cet énoncé…"
Sternutation,"Mlle Noel, une sternutation intempestive?"
Stipendié,"Signé : Votre affidé stipendié."
Stomoxe,"Mais il y avait un piège : le champ était bourré de stomoxes et de mélophages. (cf. histoires)"
Stomoxe,"Mickey notre sigisbée patelin international voire œcuménique, ayant bien joué avec les stomoxes, mélophages et autres hippobosques, considère qu'après une telle gloire il préfère se retirer sous les vivats et satisfecits d'une foule en liesse. (cf. histoires)"
Stricto Sensu,"Si on prenait la définition stricto sensu, on aurait bien ce que vous dites…Mais un peu de magie vaudoue n'a jamais fait de mal à personnne."
Subliminal,"Attention tout de même à ne pas oublier les termes subliminaux…"
Subliminal,"On ajoute des puissances subliminales sur ce polynôme…"
Subodorer,"Alors là, on peut subodorer rapidement une récurrence…"
Subodorer,"Il manque la fonction dans l'intégrale mais je subodore à vue de nez qu'il s'agit de l'intégrale de ln(x) autour de 0 qui vous plonge dans une indicible indécision…"
Subrepticement,"Permettez moi de me gausser subrepticement …"
Subrepticement,"Une petite gouaillerie s'est subrepticement immiscée dans le texte…"
Sui Generis,"Cette définition sui generis est importante."
Superfluité|Vacuité,"Iriez vous soupçonner la superfluité, voire même la vacuité de mon cours ?"
Superfétatoire,"Il n'est pas superfétatoire de démontrer ceci !"
Superfétatoire,"Ouarf, Ouarf, rigolez bien…mais l'interro ne sera pas superfétatoire."
Supplétif,"Ajout supplétif après la représentation : Titi ne pouvant plus assurer son autarcie a dû se dégoter un CDD dont les revenus mensuels lui permirent de rembourser son crédit… (cf. histoires)"
Supplétif,"Mr, Moulin, quelques gloses supplétives ?"
Surnuméraire,"Gardez cette exercice au chaud pour dimanche matin, après vos libations surnuméraires, vite un roboratif !"
Sustine et abstine,"Souffre et abstiens-toi !"
Sybarite,"Je ne reste pas à Lyon, ce qui m'évite de fréquenter une pétaudière de sybarites dévoyés… bonnes libations bachiques ! Évitez nonobstant les échansons égrillards…"
Sybarite,"Le samedi soir, au lieu d'aller dans les pandémoniums de ploutocrates concupiscents, où plutôt devrais je dire ces cloaques sybarites dyonisiaques, vous feriez mieux de redémontrer la formule d'interpolation de Lagrange, où les processus de Markov à temps continu et diffusions."
Sycophante,"Diantre, nous avons un sycophante dans la salle…"
Sycophante,"Vous n'êtes qu'un sycophante"
Taciturne,"M Souzy, vous êtes bien taciturne aujourd'hui !"
Taciturne,"Me revoici après une longue période taciturne."
Tartempion,"Dans ce cas là, c'est intégrale de 1 à 2 de f(x)dx mais c'aurait tout aussi bien pu être f(tartempion)d(tartempion) ! La variable est muette, en fait…"
Tautologie,"C'est une tautologie apodictique !"
Taxinomie,"Après, vous faites votre taxinomie de cas."
Thaumaturge,"Diantre, cessez vos vociférations vésaniques inextinguibles ? Vous aurez le temps d'exercer vos talents de thaumaturge plus tard!"
Thaumaturge,"M Tschirardt, vous êtes un bon thaumaturge, mais vous êtes vraiment meilleur en mystagogie qu'en maths…"
Thuriféraire,"Ne faites pas votre thuriféraire !"
Thuriféraire|Panégyriste|Aréopage,"Un grand merci à l'aréopage des thuriféraires associés et panégyristes associés !!!"
Toto,"0+i0 = la tête à Toto..avec une larme sur l'œil droit."
Toto,"Vous ai-je déjà parlé de Toto ?"
Translittération,"Tau s'écrit Tau et non To, c'est juste une translittération…"
Tribulations,"Après moult tribulations  méphistophéliques."
Triskaidékaphobe,"Tiens, il n'y a pas d'exo n°13 ! Cette fiche à due être réalisée par un triskaiddékaphobe…"
Trivialité,"Et ça, ce n'était pas une pure trivialité apodictique…"
Trivialité,"Et ça, permettez moi de vous dire que c'est la trivialité sur le gâteau !"
Turpitude,"M Millon, déjà en train de s'adonner à quelques turpitudes regrettables ?"
Ubuesque,"C'est tout simplement ubuesque…"
Vade mecum,"Tâchez de ranger ces formules dans un coins de votre vade mecum"
Vade mecum,"Vade mecum du Bizuth insalien (à l'attention de la 51ème promo… et des suivantes)"
Vae victis,"Le cours est terminé, vae victis."
Vae victis,"Vae victis ! [À la fin de l'interro…]"
Vaudou,"Là on fait un peu de magie vaudoue..on inverse, on fait une symétrie de la matrice par la diagonale, et on multiplie tout par pi…et voilà !"
Vaudou,"Un petit peu de magie vaudou?"
Verba volant scripta manent,"Il faudrait peut être l'écrire, comme &quot;Verba volant scripta manent&quot;"
Vermiculure,"Pas de fameuses vermiculures empruntées à l'art baroque…Je ne suis pas sûr que tout le monde soit sensible à cet art prodromique !"
Versatile,"Toto est un peu versatile, et dans un élan bestialement compulsif, il simplifie ce méga-polynôme comme ça, pfuitt !"
Versatile,"Votre opinion me semble bien versatile…"
Verve,"M. Tschirhard, notre persifleur national, toujours en proie à une verve désopilante."
Viatique|Oblatif,"Je compte sur votre viatique oblatif… Avec mes remerciements anticipés, (cf. Correspondance)"
Viatique|Satisfecit,"Je compte donc sur votre satisfecit puis sur votre viatique pour éviter toute imprécation inique ! (cf. Correspondance)"
Vilipender,"Vous allez me vilipender vertement, mais nous allons tout de même faire l'exercice 6."
Vitupérer,"Cessez de vitupérer !"
Vitupérer,"Vos vitupérations me laissent de marbre."
Vocifération,"Diantre, cessez vos vociférations vésaniques inextinguibles ! Vous aurez le temps d'exercer vos talents de thaumaturge plus tard."
Volapuk,"Ouaouh ! Ça, ce n'est pas du volapuk!!"
Vésanie,"Un instant de vésanie…"
Zoïle,"Pour les détracteurs et autres zoïles de mauvaise foi… (cf. histoires)"
Zut,"Votre Exemple ?"
Zut|Tehon,"Zut crotte flute, c'est vraiment la méga-foire ! C'est la tehon !"
Zélateur,"Très chers zélateurs stipendiés, je vous souhaite le bonjour !"
Zélateur,"Z'êtes un véritable zélateur."
i.e.,"Allez, petite anamnèse collective : 275 divisé par 13, il y va deux fois, deux fois 13 égalent 26, ôtés de 27 égalent 1, etc., bref, on arrive, sous forme linéaire, à $275^= 13 \times 21 + 2$. Mais 275 c'est quoi ? 5, c'est le chiffre des unités, 7, celui des dizaines, 2, celui des centaines, i.e. $275=2 \times 100 + 7 \times 10 + 5$ (cf. histoires)."
Échanson,"Notre échanson égrillard, M Tschirhard !"
Échanson|Égrillard|Baloche|Bucolique,"Le samedi soir, au lieu d'aller dans des baloches bucoliques à la rencontre d'échansons égrillards."
Égrillard,"Evitez nonobstant les échansons égrillards…"
Élucubration,"je dois avouer que nos communes élucubrations demandent un tout autre travail concomitant qu'il n'est pas toujours facile de maintenir (d'où l'intérêt de notre collaboration !)."
Élégie,"Votre démonstration élégiaque est fuligineuse, vous savez ?"
Épigramme,"Titeuf qui n'a pas la plume particulièrement littéraire, et donc peu enclin à rédiger des épigrammes élégiaques ou anacréontiques, voire ossianiques, lui propose plutôt, rimbou et avec un ton relou : ""Eh Nadia, tu viens faire un tour dans ma décapotable rouge… couleur Ferrari ?!""  (cf. Histoires)"
Éponyme,"Seriez-vous un Schtroumpf éponyme ?"
Éructer,"Mr Millon, vous avez éructé quelque chose ?"
Éructer|Néphrétique,"Vous éructez des borborygmes néphrétiques."
Étiologie,"Un petit exemple étiologique ?"
Étrusque,"Je parle l'Étrusque ancien, M. Bacconnier ?"
